brand;Model;country;price
Liebherr;KPef 4350;;88500
Liebherr;BP 2850;;86500
Liebherr;KB 3750;;88000
Liebherr;KBes 3750;;106000
Liebherr;KB 4310;;78000
Liebherr;KBef 4310;;85500
Liebherr;KB 4350;;97000
Liebherr;KBbs 4350;;130500
Liebherr;KBes 4350;;117000
Liebherr;KBPgb 4354;;132500
Liebherr;KBPgw 4354;;123500
Liebherr;CNPes 4858;;107000
Liebherr;CNPes 4868;;117000
Liebherr;CBNP 4858;;117000
Liebherr;CBNPbs 4858;;132500
Liebherr;CBNPes 4858;;127500
Liebherr;CBNPgw 4855;;132500
Liebherr;CBNPgb 4855;;132500
Liebherr;CBNPes 4878;;153000
Liebherr;CBNPes 5758;;153000
Liebherr;CBNPbe 5758;;140000
Liebherr;CNPesf 4613;;112000
Liebherr;CNPesf 5156;;132500
Liebherr;CBNbe 6256;;325500
Liebherr;CBNes 6256;;325500
Liebherr;SBSbs 8673;;256500
Liebherr;SBSes 8663;;230000
Liebherr;SBSes 8473;;256500
Liebherr;SBSes 8486;;342000
Liebherr;SGNPbs 4365;;132500
Liebherr;SBNes 4265;;160000
Liebherr;SWTNes 4265;;214000
Liebherr;ZKes 453;;137500
Liebherr;CMes 502;;68000
Liebherr;IK 1620;;48500
Liebherr;IK 1624;;48500
Liebherr;IKP 1660;;62500
Liebherr;IKP 1664;;62500
Liebherr;SIBP 1650;;68500
Liebherr;IKB 1920;;71500
Liebherr;IK 1960;;65500
Liebherr;IK 1964;;65500
Liebherr;IK 2320;;52000
Liebherr;IK 2360;;68500
Liebherr;IKP 2364;;68500
Liebherr;IKB 2360;;84500
Liebherr;IKBP 2364;;84500
Liebherr;IK 2760;;71500
Liebherr;IK 2764;;71500
Liebherr;IKB 2760;;89500
Liebherr;IKBP 2764;;89500
Liebherr;IKF 3514;;70500
Liebherr;IK 3520;;67000
Liebherr;IKF 3510;;70500
Liebherr;IK 3524;;67000
Liebherr;IKB 3520;;84500
Liebherr;IKB 3524;;84500
Liebherr;IKB 3560;;95000
Liebherr;IKBP 3560;;107000
Liebherr;IKB 3564;;95000
Liebherr;ICU 3324;;49000
Liebherr;ICUN 3324;;61500
Liebherr;ICNP 3366;;102000
Liebherr;ICN 3376;;89500
Liebherr;ICN 3386;;111000
Liebherr;ICBP 3266;;114000
Liebherr;ICBN 3376;;109000
Liebherr;ICBN 3386;;140500
Liebherr;SICN 3386;;92000
Liebherr;ECBN 5066;;383500
Liebherr;ECBN 6156;;435500
Liebherr;ECBN 6256;;468000
Liebherr;SBS 66I2;;202500
Liebherr;SBS 66I3;;232000
Liebherr;SBS 70I4;;213000
Liebherr;SBS 70I2;;141000
Liebherr;UIKo 1560;;66500
Liebherr;UIK 1510;;49000
Liebherr;UIK 1514;;49000
Liebherr;UIKo 1550;;60000
Liebherr;UIKP 1550;;54000
Liebherr;UIKP 1554;;54000
Liebherr;SUIB 1550;;56000
Liebherr;SUIGN 1554;;52000
Liebherr;SUIG 1514;;44500
Liebherr;IG 1024;;45000
Liebherr;IG 1624;;51500
Liebherr;IGS 1624;;48000
Liebherr;SIGN 3524;;74500
Liebherr;IGN 1064;;55000
Liebherr;IGN 1664;;61500
Liebherr;SIGN 2756;;80500
Liebherr;SIGN 3556;;86500
Liebherr;SIGN 3576;;118000
Liebherr;WTes 5872;;291500
Liebherr;WTes 5972;;257000
Liebherr;WTpes 5972;;257000
Liebherr;WTes 1672;;135000
Liebherr;UWTes 1672;;112000
Liebherr;EWTdf 1653;;137500
Liebherr;EWTgb 1683;;158000
Liebherr;EWTgw 1683;;158000
Liebherr;EWTdf 2353;;153000
