brand;model;country;price
Liebherr;T 1400;;18500
Liebherr;Tb 1400;;19500
Liebherr;T 1404;;18500
Liebherr;T 1410;;18500
Liebherr;T 1414;;18500
Liebherr;Tsl 1414;;19500
Liebherr;Tbe 1404;;19500
Liebherr;T 1700;;20500
Liebherr;T 1504;;19500
Liebherr;T 1710;;20500
Liebherr;TX 1021;;18000
Liebherr;TPesf 1710;;29500
Liebherr;TPesf 1714;;29500
Liebherr;T 1714;;20500
Liebherr;T 1810;;20500
Liebherr;CT 2531;;24500
Liebherr;CTel 2531;;25500
Liebherr;CT 2931;;26500
Liebherr;CTel 2931;;27500
Liebherr;CTP 3016;;35000
Liebherr;CTPesf 3016;;39000
Liebherr;CT 3306;;30000
Liebherr;CTsl 3306;;34000
Liebherr;CTP 3316;;34500
Liebherr;CTPesf 3316;;39500
Liebherr;CTN 3663;;43000
Liebherr;CTNesf 3663;;50000
Liebherr;K 2814;;37000
Liebherr;Ksl 2814;;40000
Liebherr;K 3130;;44000
Liebherr;K 4220;;55000
Liebherr;KPef 4350;;88500
Liebherr;BP 2850;;86500
Liebherr;KB 3750;;88000
Liebherr;KBes 3750;;106000
Liebherr;KB 4310;;78000
Liebherr;KBef 4310;;85500
Liebherr;KB 4350;;97000
Liebherr;KBbs 4350;;130500
Liebherr;KBes 4350;;117000
Liebherr;KBPgb 4354;;132500
Liebherr;KBPgw 4354;;123500
Liebherr;CU 2331;;27500
Liebherr;CUel 2331;;28500
Liebherr;CU 2831;;29500
Liebherr;CUel 2831;;30500
Liebherr;CUfb 2831;;31500
Liebherr;CUkw 2831;;31500
Liebherr;CUno 2831;;31500
Liebherr;CUel 3331;;33500
Liebherr;CU 2915;;39000
Liebherr;CUef 2915;;41000
Liebherr;CU 3515;;40000
Liebherr;CUef 3515;;42000
Liebherr;CUbe 4015;;46500
Liebherr;C 4025;;42000
Liebherr;Cef 4025;;46000
Liebherr;CN 3515;;46000
Liebherr;CNef 3515;;51000
Liebherr;CNef 3535;;56000
Liebherr;CN 4213;;38500
Liebherr;CNel 4213;;40500
Liebherr;CNP 4313;;41000
Liebherr;CNPel 4313;;43000
Liebherr;CN 4315;;63500
Liebherr;CNef 4315;;68500
Liebherr;CN 3915;;49000
Liebherr;CNef 3915;;54000
Liebherr;CNbs 3915;;64500
Liebherr;CN 4015;;48000
Liebherr;CNef 4015;;53000
Liebherr;CNbs 4015;;63500
Liebherr;CNbe 4015;;53000
Liebherr;CNP 4813;;43000
Liebherr;CNPel 4813;;45000
Liebherr;CN 4815;;66500
Liebherr;CNef 4815;;71500
Liebherr;CNef 4825;;83500
Liebherr;CNPes 4858;;107000
Liebherr;CNPes 4868;;117000
Liebherr;CNst 4813;;51000
Liebherr;CNbe 4313;;39000
Liebherr;CNfb 4313;;41000
Liebherr;CNkw 4313;;41000
Liebherr;CNno 4313;;41000
Liebherr;CN 4713;;40500
Liebherr;CNel 4713;;42000
Liebherr;CBN 4815;;78500
Liebherr;CBNbs 4815;;91000
Liebherr;CBNef 4815;;83500
Liebherr;CBNP 4858;;117000
Liebherr;CBNPbs 4858;;132500
Liebherr;CBNPes 4858;;127500
Liebherr;CBNPgw 4855;;132500
Liebherr;CBNPgb 4855;;132500
Liebherr;CBNPes 4878;;153000
Liebherr;CN 5715;;95000
Liebherr;CNef 5715;;102000
Liebherr;CNef 5725;;120000
Liebherr;CBNef 5715;;112000
Liebherr;CBNPes 5758;;153000
Liebherr;CBNPbe 5758;;140000
Liebherr;CNPesf 4613;;112000
Liebherr;CNPesf 5156;;132500
Liebherr;CBNbe 6256;;325500
Liebherr;CBNes 6256;;325500
Liebherr;SBS 7212;;117500
Liebherr;SBSesf 7212;;140000
Liebherr;SBSbs 8673;;256500
Liebherr;SBSes 8663;;230000
Liebherr;SBSes 8473;;256500
Liebherr;SBSes 8486;;342000
Liebherr;GN 1066;;29000
Liebherr;GP 1476;;26000
